timestamp_utc,vertical,doc_id,offset,cohesion,tp,fp,fn,tn,na,recall,precision,f1,passes_gates
2026-06-22T12:40:59.6628752+00:00,fsi,doc-002-tpra-cloud,0.00,0,3,1,0,1,0,1.000,0.750,0.857,0
2026-06-22T12:41:00.2984466+00:00,gov-architecture,doc-003-fully-compliant,0.00,0,2,1,2,0,0,0.500,0.667,0.571,0
2026-06-22T12:41:00.5577946+00:00,oil-gas,doc-002-clean-pipeline-program,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T12:41:01.0297434+00:00,oil-gas,doc-001-pipeline-ops-manual-with-gaps,0.00,0,2,1,0,1,1,1.000,0.667,0.800,0
2026-06-22T12:41:01.4227901+00:00,fsi,doc-001-vendor-msa-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T12:41:01.7363883+00:00,permitting,doc-002-warehouse-clean,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T12:41:02.0425010+00:00,contract,doc-002-clean-msa,0.00,0,4,0,1,0,0,0.800,1.000,0.889,0
2026-06-22T12:41:02.3414051+00:00,gov-architecture,doc-002-iaas-partial-compliance,0.00,0,3,0,0,2,0,1.000,1.000,1.000,1
2026-06-22T12:41:02.6409067+00:00,gov-architecture,doc-001-protb-saas-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T12:41:03.0467135+00:00,permitting,doc-001-condo-permit-with-gaps,0.00,0,1,0,0,4,0,1.000,1.000,1.000,1
2026-06-22T12:41:03.3957730+00:00,contract,doc-001-msa-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T12:49:19.1197474+00:00,fsi,doc-002-tpra-cloud,0.00,0,3,1,0,1,0,1.000,0.750,0.857,0
2026-06-22T12:49:19.7657344+00:00,gov-architecture,doc-003-fully-compliant,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T12:49:20.0519062+00:00,oil-gas,doc-002-clean-pipeline-program,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T12:49:20.3728292+00:00,oil-gas,doc-001-pipeline-ops-manual-with-gaps,0.00,0,1,1,0,2,1,1.000,0.500,0.667,0
2026-06-22T12:49:20.7555735+00:00,fsi,doc-001-vendor-msa-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T12:49:21.0876207+00:00,permitting,doc-002-warehouse-clean,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T12:49:21.4098403+00:00,contract,doc-002-clean-msa,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T12:49:21.6409892+00:00,gov-architecture,doc-002-iaas-partial-compliance,0.00,0,3,1,0,1,0,1.000,0.750,0.857,0
2026-06-22T12:49:21.8521787+00:00,gov-architecture,doc-001-protb-saas-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T12:49:22.2213240+00:00,permitting,doc-001-condo-permit-with-gaps,0.00,0,0,1,0,4,0,1.000,0.000,0.000,0
2026-06-22T12:49:22.5201528+00:00,contract,doc-001-msa-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T12:50:12.2194430+00:00,fsi,doc-002-tpra-cloud,0.00,0,3,0,0,2,0,1.000,1.000,1.000,1
2026-06-22T12:50:12.6362094+00:00,gov-architecture,doc-003-fully-compliant,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T12:50:12.8799009+00:00,oil-gas,doc-002-clean-pipeline-program,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T12:50:13.1377729+00:00,oil-gas,doc-001-pipeline-ops-manual-with-gaps,0.00,0,1,0,0,3,1,1.000,1.000,1.000,1
2026-06-22T12:50:13.5653163+00:00,fsi,doc-001-vendor-msa-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T12:50:13.9252884+00:00,permitting,doc-002-warehouse-clean,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T12:50:14.3194772+00:00,contract,doc-002-clean-msa,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T12:50:14.6096095+00:00,gov-architecture,doc-002-iaas-partial-compliance,0.00,0,3,0,0,2,0,1.000,1.000,1.000,1
2026-06-22T12:50:14.8419209+00:00,gov-architecture,doc-001-protb-saas-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T12:50:15.2099519+00:00,permitting,doc-001-condo-permit-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T12:50:15.6350354+00:00,contract,doc-001-msa-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T12:50:50.2495485+00:00,fsi,doc-002-tpra-cloud,0.00,0,3,0,0,2,0,1.000,1.000,1.000,1
2026-06-22T12:50:50.7357106+00:00,gov-architecture,doc-003-fully-compliant,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
